customer_id;first_name;last_name;email;signup_date;city
201;John;Doe;john@email.com;2024/01/01;Pretoria
202;jane;smith;jane@email.com;2024/01/01;Johannesburg
203;MIKE;Brown;2024/01/01;Cape Town
204;Sarah;Connor;sarah@email.com;2024/01/02;Durban
205;David;Miller;david@email.com;2024/01/02;Pretoria
206;Chris;Evans;chris@email.com;2024/01/03;Johannesburg
207;Anna;White;anna@email.com;2024/01/03;Cape Town
208;Tom;Hanks;tom@email.com;2024/01/04;Durban
209;Emma;Stone;emma@email.com;2024/01/04;Pretoria
210;Robert;Downey;rd@email.com;2024/01/05;Johannesburg
201;John;Doe;john@email.com;2024/01/01;Pretoria
211;Lucy;Liu;lucy@email.com;2024/01/05;Cape Town
212;Mark;Ruffalo;mark@email.com;2024/01/06;Durban
213;Scarlett;Johansson;scarlett@email.com;2024/01/06;Pretoria
214;Chris;Hemsworth;chris@email.com;2024/01/07;Johannesburg
215;Jeremy;Renner;jeremy@email.com;2024/01/07;Cape Town
216;Paul;Rudd;paul@email.com;2024/01/08;Durban
217;Brie;Larson;brie@email.com;2024/01/08;Pretoria
218;Chadwick;Boseman;chad@email.com;2024/01/09;Johannesburg
219;Tom;Holland;tom@email.com;2024/01/09;Cape Town
